id,text,added_datetime,yes_no,image_coordinates,image_url,original_id,page_number,parser_version,model_version,manual_override
462548,No plastic bags or pesticide containers .,2021-07-13 01:18:01.983,no,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 699, 'x2': 913, 'y1': 367, 'y2': 503}",NULL,NULL,NULL,NULL,NULL,NULL
462549,No paint or aerosol cans .,2021-07-13 01:18:01.983,no,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 695, 'x2': 909, 'y1': 740, 'y2': 876}",NULL,NULL,NULL,NULL,NULL,NULL
462550,Tin and aluminum food and drink cans .,2021-07-13 01:18:01.983,yes,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 224, 'x2': 438, 'y1': 771, 'y2': 907}",NULL,NULL,NULL,NULL,NULL,NULL
462551,Corrugated and non corrugated . Includes cereal - type boxes and egg cartons .,2021-07-13 01:18:01.983,yes,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 224, 'x2': 438, 'y1': 630, 'y2': 766}",NULL,NULL,NULL,NULL,NULL,NULL
462552,"Includes all colors office paper , newspapers , magazines , catalogs , envelopes with windows , and phone books .",2021-07-13 01:18:01.983,yes,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 225, 'x2': 439, 'y1': 499, 'y2': 635}",NULL,NULL,NULL,NULL,NULL,NULL
462553,Numbers 1 - 7,2021-07-13 01:18:01.983,yes,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 223, 'x2': 439, 'y1': 408, 'y2': 477}",NULL,NULL,NULL,NULL,NULL,NULL
462554,"Clear , green , and brown bottles and jars .",2021-07-13 01:18:01.983,yes,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 223, 'x2': 439, 'y1': 273, 'y2': 342}",NULL,NULL,NULL,NULL,NULL,NULL
462555,Broken glass,2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 42, 'x2': 285, 'y1': 2360, 'y2': 2448}",NULL,NULL,NULL,NULL,NULL,NULL
462556,Aerosol cans Gas cans,2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 39, 'x2': 282, 'y1': 2223, 'y2': 2311}",NULL,NULL,NULL,NULL,NULL,NULL
462557,"Mirror / window glass , crystal , drinking glass , ceramics , ovenware , light bulbs",2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 40, 'x2': 283, 'y1': 2133, 'y2': 2221}",NULL,NULL,NULL,NULL,NULL,NULL
462558,Gift wrap,2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 42, 'x2': 283, 'y1': 2009, 'y2': 2051}",NULL,NULL,NULL,NULL,NULL,NULL
462559,Plastic grocery bags,2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 45, 'x2': 284, 'y1': 1882, 'y2': 1962}",NULL,NULL,NULL,NULL,NULL,NULL
462560,Styrofoam,2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 32, 'x2': 271, 'y1': 1814, 'y2': 1894}",NULL,NULL,NULL,NULL,NULL,NULL
462561,Beer bottles Juice containers Food containers Pop bottles Wine and liquor bottles,2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 32, 'x2': 854, 'y1': 1671, 'y2': 1745}",NULL,NULL,NULL,NULL,NULL,NULL
462562,Aluminum cans Aluminum pie plates Aluminum foil Tin food / beverage cans Coffee cans,2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 41, 'x2': 863, 'y1': 1563, 'y2': 1637}",NULL,NULL,NULL,NULL,NULL,NULL
462563,Plastics # 1- # 7 such as those from : Cleaners Food containers Bleach Milk Cooking oils Pill bottles Cosmetics & lotions Shampoo & conditioner Soft drinks Detergents Flower pots Water or juice,2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 41, 'x2': 867, 'y1': 1354, 'y2': 1536}",NULL,NULL,NULL,NULL,NULL,NULL
462564,Catalogs Cereal boxes Shredded paper Mail Toilet paper rolls Frozen food boxes Greeting cards Boxboard ( e.g. pop boxes ),2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 575, 'x2': 848, 'y1': 984, 'y2': 1319}",NULL,NULL,NULL,NULL,NULL,NULL
462565,Office paper ( white and colored ) Phonebooks Corrugated cardboard Tissue boxes Snack boxes Pop and beer cartons Wrapping paper tubes Paper gift / shopping bags Nut or chip canister ( e.g. Pringles ),2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 304, 'x2': 577, 'y1': 983, 'y2': 1318}",NULL,NULL,NULL,NULL,NULL,NULL
462570,"1-7 plastic containers . This includes : Milk and juice jugs , pop and water",2021-07-13 01:22:48.390,yes,"{'originalSize': {'height': 3866, 'width': 1600}, 'x1': 324, 'x2': 1135, 'y1': 1452, 'y2': 1503}",NULL,NULL,NULL,NULL,NULL,NULL
462574,Plastic Containers # 1 - # 7,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 766, 'x2': 1069, 'y1': 1380, 'y2': 1417}",NULL,NULL,NULL,NULL,NULL,NULL
462575,Paper Drink Cartons,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 433, 'x2': 736, 'y1': 1450, 'y2': 1487}",NULL,NULL,NULL,NULL,NULL,NULL
462576,Tin Containers,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 432, 'x2': 735, 'y1': 1412, 'y2': 1449}",NULL,NULL,NULL,NULL,NULL,NULL
