id,text,added_datetime,yes_no,image_coordinates,image_url,original_id,page_number,parser_version,model_version,manual_override,token_count,clean_text,tokens
462548,No plastic bags or pesticide containers .,2021-07-13 01:18:01.983,no,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 699, 'x2': 913, 'y1': 367, 'y2': 503}",,,,,,,4.0,['no plastic bags or pesticide containers  '],"['plastic', 'bags', 'pesticide', 'containers']"
462549,No paint or aerosol cans .,2021-07-13 01:18:01.983,no,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 695, 'x2': 909, 'y1': 740, 'y2': 876}",,,,,,,3.0,['no paint or aerosol cans  '],"['paint', 'aerosol', 'cans']"
462550,Tin and aluminum food and drink cans .,2021-07-13 01:18:01.983,yes,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 224, 'x2': 438, 'y1': 771, 'y2': 907}",,,,,,,5.0,['tin and aluminum food and drink cans  '],"['tin', 'aluminum', 'food', 'drink', 'cans']"
462551,Corrugated and non corrugated . Includes cereal - type boxes and egg cartons .,2021-07-13 01:18:01.983,yes,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 224, 'x2': 438, 'y1': 630, 'y2': 766}",,,,,,,9.0,['corrugated and non corrugated   includes cereal   type boxes and egg cartons  '],"['corrugated', 'non', 'corrugated', 'includes', 'cereal', 'type', 'boxes', 'egg', 'cartons']"
462552,"Includes all colors office paper , newspapers , magazines , catalogs , envelopes with windows , and phone books .",2021-07-13 01:18:01.983,yes,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 225, 'x2': 439, 'y1': 499, 'y2': 635}",,,,,,,11.0,"['includes all colors office paper ', ' newspapers ', ' magazines ', ' catalogs ', ' envelopes with windows ', ' and phone books  ']","['includes', 'colors', 'office', 'paper', 'newspapers', 'magazines', 'catalogs', 'envelopes', 'windows', 'phone', 'books']"
462553,Numbers 1 - 7,2021-07-13 01:18:01.983,yes,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 223, 'x2': 439, 'y1': 408, 'y2': 477}",,,,,,,1.0,['numbers      '],['numbers']
462554,"Clear , green , and brown bottles and jars .",2021-07-13 01:18:01.983,yes,"{'originalSize': {'height': 1700, 'width': 2200}, 'x1': 223, 'x2': 439, 'y1': 273, 'y2': 342}",,,,,,,5.0,"['clear ', ' green ', ' and brown bottles and jars  ']","['clear', 'green', 'brown', 'bottles', 'jars']"
462555,Broken glass,2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 42, 'x2': 285, 'y1': 2360, 'y2': 2448}",,,,,,,2.0,['broken glass'],"['broken', 'glass']"
462556,Aerosol cans Gas cans,2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 39, 'x2': 282, 'y1': 2223, 'y2': 2311}",,,,,,,4.0,['aerosol cans gas cans'],"['aerosol', 'cans', 'gas', 'cans']"
462557,"Mirror / window glass , crystal , drinking glass , ceramics , ovenware , light bulbs",2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 40, 'x2': 283, 'y1': 2133, 'y2': 2221}",,,,,,,10.0,"['mirror   window glass ', ' crystal ', ' drinking glass ', ' ceramics ', ' ovenware ', ' light bulbs']","['mirror', 'window', 'glass', 'crystal', 'drinking', 'glass', 'ceramics', 'ovenware', 'light', 'bulbs']"
462558,Gift wrap,2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 42, 'x2': 283, 'y1': 2009, 'y2': 2051}",,,,,,,2.0,['gift wrap'],"['gift', 'wrap']"
462559,Plastic grocery bags,2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 45, 'x2': 284, 'y1': 1882, 'y2': 1962}",,,,,,,3.0,['plastic grocery bags'],"['plastic', 'grocery', 'bags']"
462560,Styrofoam,2021-07-13 01:20:44.027,no,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 32, 'x2': 271, 'y1': 1814, 'y2': 1894}",,,,,,,1.0,['styrofoam'],['styrofoam']
462561,Beer bottles Juice containers Food containers Pop bottles Wine and liquor bottles,2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 32, 'x2': 854, 'y1': 1671, 'y2': 1745}",,,,,,,11.0,['beer bottles juice containers food containers pop bottles wine and liquor bottles'],"['beer', 'bottles', 'juice', 'containers', 'food', 'containers', 'pop', 'bottles', 'wine', 'liquor', 'bottles']"
462562,Aluminum cans Aluminum pie plates Aluminum foil Tin food / beverage cans Coffee cans,2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 41, 'x2': 863, 'y1': 1563, 'y2': 1637}",,,,,,,13.0,['aluminum cans aluminum pie plates aluminum foil tin food   beverage cans coffee cans'],"['aluminum', 'cans', 'aluminum', 'pie', 'plates', 'aluminum', 'foil', 'tin', 'food', 'beverage', 'cans', 'coffee', 'cans']"
462563,Plastics # 1- # 7 such as those from : Cleaners Food containers Bleach Milk Cooking oils Pill bottles Cosmetics & lotions Shampoo & conditioner Soft drinks Detergents Flower pots Water or juice,2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 41, 'x2': 867, 'y1': 1354, 'y2': 1536}",,,,,,,21.0,"['plastics          such as those from ', ' cleaners food containers bleach milk cooking oils pill bottles cosmetics   lotions shampoo   conditioner soft drinks detergents flower pots water or juice']","['plastics', 'cleaners', 'food', 'containers', 'bleach', 'milk', 'cooking', 'oils', 'pill', 'bottles', 'cosmetics', 'lotions', 'shampoo', 'conditioner', 'soft', 'drinks', 'detergents', 'flower', 'pots', 'water', 'juice']"
462564,Catalogs Cereal boxes Shredded paper Mail Toilet paper rolls Frozen food boxes Greeting cards Boxboard ( e.g. pop boxes ),2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 575, 'x2': 848, 'y1': 984, 'y2': 1319}",,,,,,,19.0,['catalogs cereal boxes shredded paper mail toilet paper rolls frozen food boxes greeting cards boxboard   e g  pop boxes  '],"['catalogs', 'cereal', 'boxes', 'shredded', 'paper', 'mail', 'toilet', 'paper', 'rolls', 'frozen', 'food', 'boxes', 'greeting', 'cards', 'boxboard', 'e', 'g', 'pop', 'boxes']"
462565,Office paper ( white and colored ) Phonebooks Corrugated cardboard Tissue boxes Snack boxes Pop and beer cartons Wrapping paper tubes Paper gift / shopping bags Nut or chip canister ( e.g. Pringles ),2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 304, 'x2': 577, 'y1': 983, 'y2': 1318}",,,,,,,27.0,['office paper   white and colored   phonebooks corrugated cardboard tissue boxes snack boxes pop and beer cartons wrapping paper tubes paper gift   shopping bags nut or chip canister   e g  pringles  '],"['office', 'paper', 'white', 'colored', 'phonebooks', 'corrugated', 'cardboard', 'tissue', 'boxes', 'snack', 'boxes', 'pop', 'beer', 'cartons', 'wrapping', 'paper', 'tubes', 'paper', 'gift', 'shopping', 'bags', 'nut', 'chip', 'canister', 'e', 'g', 'pringles']"
462570,"1-7 plastic containers . This includes : Milk and juice jugs , pop and water",2021-07-13 01:22:48.390,yes,"{'originalSize': {'height': 3866, 'width': 1600}, 'x1': 324, 'x2': 1135, 'y1': 1452, 'y2': 1503}",,,,,,,8.0,"['    plastic containers   this includes ', ' milk and juice jugs ', ' pop and water']","['plastic', 'containers', 'includes', 'milk', 'juice', 'jugs', 'pop', 'water']"
462574,Plastic Containers # 1 - # 7,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 766, 'x2': 1069, 'y1': 1380, 'y2': 1417}",,,,,,,2.0,['plastic containers          '],"['plastic', 'containers']"
462575,Paper Drink Cartons,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 433, 'x2': 736, 'y1': 1450, 'y2': 1487}",,,,,,,3.0,['paper drink cartons'],"['paper', 'drink', 'cartons']"
462576,Tin Containers,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 432, 'x2': 735, 'y1': 1412, 'y2': 1449}",,,,,,,2.0,['tin containers'],"['tin', 'containers']"
462566,Newspaper & advertisements Magazines Shoe boxes Paperback books Paper egg cartons Paper towel rolls Tissue paper Kraft paper bags Gable Top Containers ( Orange Juice or Milk Carton ),2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 38, 'x2': 311, 'y1': 983, 'y2': 1318}",,,,,,,24.0,['newspaper   advertisements magazines shoe boxes paperback books paper egg cartons paper towel rolls tissue paper kraft paper bags gable top containers   orange juice or milk carton  '],"['newspaper', 'advertisements', 'magazines', 'shoe', 'boxes', 'paperback', 'books', 'paper', 'egg', 'cartons', 'paper', 'towel', 'rolls', 'tissue', 'paper', 'kraft', 'paper', 'bags', 'gable', 'containers', 'orange', 'juice', 'milk', 'carton']"
462567,"Aluminum and metal cans , foil and foil trays , lids and aerosol spray cans ( must be empty ) . Please",2021-07-13 01:22:48.390,yes,"{'originalSize': {'height': 3866, 'width': 1600}, 'x1': 49, 'x2': 1145, 'y1': 1862, 'y2': 1907}",,,,,,,10.0,"['aluminum and metal cans ', ' foil and foil trays ', ' lids and aerosol spray cans   must be empty     please']","['aluminum', 'metal', 'cans', 'foil', 'foil', 'trays', 'lids', 'aerosol', 'spray', 'cans']"
462568,"Paper and cardboard : Office paper , envelopes , junk mail , newspaper , brown paper bags , magazines , phone books , catalogs , books , paper egg cartons , cereal boxes , pop boxes , paper cups and corrugated",2021-07-13 01:22:48.390,yes,"{'originalSize': {'height': 3866, 'width': 1600}, 'x1': 45, 'x2': 1141, 'y1': 1640, 'y2': 1760}",,,,,,,26.0,"['paper and cardboard ', ' office paper ', ' envelopes ', ' junk mail ', ' newspaper ', ' brown paper bags ', ' magazines ', ' phone books ', ' catalogs ', ' books ', ' paper egg cartons ', ' cereal boxes ', ' pop boxes ', ' paper cups and corrugated']","['paper', 'cardboard', 'office', 'paper', 'envelopes', 'junk', 'mail', 'newspaper', 'brown', 'paper', 'bags', 'magazines', 'phone', 'books', 'catalogs', 'books', 'paper', 'egg', 'cartons', 'cereal', 'boxes', 'pop', 'boxes', 'paper', 'cups', 'corrugated']"
462569,"bottles , dish and liquid soap bottles , bleach and detergent containers , ice cream tubs and yogurt cups , cooking oil containers , lotion bottles , household cleaning containers , plastic cups and plastic plant pots . All containers must be clean and contain no liquids .",2021-07-13 01:22:48.390,yes,"{'originalSize': {'height': 3866, 'width': 1600}, 'x1': 60, 'x2': 1156, 'y1': 1493, 'y2': 1613}",,,,,,,30.0,"['bottles ', ' dish and liquid soap bottles ', ' bleach and detergent containers ', ' ice cream tubs and yogurt cups ', ' cooking oil containers ', ' lotion bottles ', ' household cleaning containers ', ' plastic cups and plastic plant pots   all containers must be clean and contain no liquids  ']","['bottles', 'dish', 'liquid', 'soap', 'bottles', 'bleach', 'detergent', 'containers', 'ice', 'cream', 'tubs', 'yogurt', 'cups', 'cooking', 'oil', 'containers', 'lotion', 'bottles', 'household', 'cleaning', 'containers', 'plastic', 'cups', 'plastic', 'plant', 'pots', 'containers', 'clean', 'contain', 'liquids']"
462571,Shingles - Ashes - Chemicals - Yard Waste - Railroad Ties - Concrete - Brick - Rock - Dirt - Large Metal Objects such as ; Cars - Machinery - Livestock Feeders - Fencing - etc.,2021-07-13 01:24:06.413,no,"{'originalSize': {'height': 4084, 'width': 1600}, 'x1': 408, 'x2': 960, 'y1': 1650, 'y2': 1795}",,,,,,,19.0,['shingles   ashes   chemicals   yard waste   railroad ties   concrete   brick   rock   dirt   large metal objects such as   cars   machinery   livestock feeders   fencing   etc '],"['shingles', 'ashes', 'chemicals', 'yard', 'waste', 'railroad', 'ties', 'concrete', 'brick', 'rock', 'dirt', 'large', 'metal', 'objects', 'cars', 'machinery', 'livestock', 'feeders', 'fencing']"
462572,"Plastics # 1 thru # 7 , Tin & Aluminum cans or containers , Cardboard boxes , Paper including magazines & newspaper , Clear glass , Batteries and Scrap metal .",2021-07-13 01:24:06.413,yes,"{'originalSize': {'height': 4084, 'width': 1600}, 'x1': 404, 'x2': 925, 'y1': 1352, 'y2': 1484}",,,,,,,16.0,"['plastics     thru     ', ' tin   aluminum cans or containers ', ' cardboard boxes ', ' paper including magazines   newspaper ', ' clear glass ', ' batteries and scrap metal  ']","['plastics', 'tin', 'aluminum', 'cans', 'containers', 'cardboard', 'boxes', 'paper', 'including', 'magazines', 'newspaper', 'clear', 'glass', 'batteries', 'scrap', 'metal']"
462573,Aerosol Cans Ceramic Dishes and Mugs Glass Cookware Glass Vases Food / Food Waste Lightbulbs Paper Towels / Facial Tissues / Toilet Paper Paint Plastic Bags - return to grocery stores in bins they provide Plastic Packaging Styrofoam of any kind Window Glass Wrapping Paper,2021-07-13 01:25:36.340,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 64, 'x2': 662, 'y1': 682, 'y2': 1124}",,,,,,,35.0,['aerosol cans ceramic dishes and mugs glass cookware glass vases food   food waste lightbulbs paper towels   facial tissues   toilet paper paint plastic bags   return to grocery stores in bins they provide plastic packaging styrofoam of any kind window glass wrapping paper'],"['aerosol', 'cans', 'ceramic', 'dishes', 'mugs', 'glass', 'cookware', 'glass', 'vases', 'food', 'food', 'waste', 'lightbulbs', 'paper', 'towels', 'facial', 'tissues', 'toilet', 'paper', 'paint', 'plastic', 'bags', 'return', 'grocery', 'stores', 'bins', 'provide', 'plastic', 'packaging', 'styrofoam', 'kind', 'window', 'glass', 'wrapping', 'paper']"
462577,Cardboard,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 53, 'x2': 356, 'y1': 1413, 'y2': 1470}",,,,,,,1.0,['cardboard'],['cardboard']
462578,Mixed Paper & Junk Mail,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 418, 'x2': 721, 'y1': 1359, 'y2': 1416}",,,,,,,4.0,['mixed paper   junk mail'],"['mixed', 'paper', 'junk', 'mail']"
462579,Glass Bottles / Containers,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 91, 'x2': 394, 'y1': 1362, 'y2': 1419}",,,,,,,3.0,['glass bottles   containers'],"['glass', 'bottles', 'containers']"
462580,"Milk or juice cartons , plastic or wax coated boxes , or any cardboard contaminated with oil .",2021-07-13 01:34:01.593,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 56, 'x2': 1148, 'y1': 343, 'y2': 388}",,,,,,,10.0,"['milk or juice cartons ', ' plastic or wax coated boxes ', ' or any cardboard contaminated with oil  ']","['milk', 'juice', 'cartons', 'plastic', 'wax', 'coated', 'boxes', 'cardboard', 'contaminated', 'oil']"
462581,"Paper towels , plates , or cups , toilet paper , wall paper , waxed paper , Christmas wrap , and stickers .",2021-07-13 01:34:01.593,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 76, 'x2': 1168, 'y1': 551, 'y2': 596}",,,,,,,13.0,"['paper towels ', ' plates ', ' or cups ', ' toilet paper ', ' wall paper ', ' waxed paper ', ' christmas wrap ', ' and stickers  ']","['paper', 'towels', 'plates', 'cups', 'toilet', 'paper', 'wall', 'paper', 'waxed', 'paper', 'christmas', 'wrap', 'stickers']"
462582,"Styrofoam , plastic bags , toys , vinyl siding , PVC pipe , plastic feed sacks , films , rubber , carpet , foam , silage bags , Tyvek , field tile , or motor oil bottles .",2021-07-13 01:34:01.593,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 90, 'x2': 1182, 'y1': 733, 'y2': 810}",,,,,,,23.0,"['styrofoam ', ' plastic bags ', ' toys ', ' vinyl siding ', ' pvc pipe ', ' plastic feed sacks ', ' films ', ' rubber ', ' carpet ', ' foam ', ' silage bags ', ' tyvek ', ' field tile ', ' or motor oil bottles  ']","['styrofoam', 'plastic', 'bags', 'toys', 'vinyl', 'siding', 'pvc', 'pipe', 'plastic', 'feed', 'sacks', 'films', 'rubber', 'carpet', 'foam', 'silage', 'bags', 'tyvek', 'field', 'tile', 'motor', 'oil', 'bottles']"
462583,"Nails , screws , microwaves , TVs , computers , electronics , or major appliances .",2021-07-13 01:34:01.593,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 95, 'x2': 946, 'y1': 941, 'y2': 982}",,,,,,,8.0,"['nails ', ' screws ', ' microwaves ', ' tvs ', ' computers ', ' electronics ', ' or major appliances  ']","['nails', 'screws', 'microwaves', 'tvs', 'computers', 'electronics', 'major', 'appliances']"
462584,Glass,2021-07-13 01:34:01.593,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 74, 'x2': 169, 'y1': 1015, 'y2': 1056}",,,,,,,1.0,['glass'],['glass']
462630,Cardboard ( preferably not wet ),2021-07-13 01:54:00.300,yes,"{'originalSize': {'height': 3982, 'width': 1600}, 'x1': 464, 'x2': 772, 'y1': 921, 'y2': 952}",,,,,,,3.0,['cardboard   preferably not wet  '],"['cardboard', 'preferably', 'wet']"
462631,NO PLASTIC BAGS OR TRASH BAGS OF ANY KIND,2021-07-13 02:02:07.683,no,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 536, 'x2': 989, 'y1': 3243, 'y2': 3278}",,,,,,,5.0,['no plastic bags or trash bags of any kind'],"['plastic', 'bags', 'trash', 'bags', 'kind']"
462585,"Tin cans , pop cans , aluminum foil , frying pans , cookie sheets , license plates , stainless steel kitchen items , cast iron skillets , brass items , bikes , electrical cords , electric motors , and wall chargers .",2021-07-13 01:34:01.593,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 68, 'x2': 1184, 'y1': 840, 'y2': 907}",,,,,,,28.0,"['tin cans ', ' pop cans ', ' aluminum foil ', ' frying pans ', ' cookie sheets ', ' license plates ', ' stainless steel kitchen items ', ' cast iron skillets ', ' brass items ', ' bikes ', ' electrical cords ', ' electric motors ', ' and wall chargers  ']","['tin', 'cans', 'pop', 'cans', 'aluminum', 'foil', 'frying', 'pans', 'cookie', 'sheets', 'license', 'plates', 'stainless', 'steel', 'kitchen', 'items', 'cast', 'iron', 'skillets', 'brass', 'items', 'bikes', 'electrical', 'cords', 'electric', 'motors', 'wall', 'chargers']"
